category,text,text_final
schedule,"Car, find the date and time for my Tennis activity.","['car', 'find', 'date', 'time', 'tennis', 'activity', '.']"
schedule,Looking for the day and people attending my lab appointment. ,"['look', 'day', 'people', 'attend', 'lab', 'appointment', '.']"
schedule,Schedule an appointment at 5PM at the end of March with Tom.,"['schedule', 'appointment', '5pm', 'end', 'march', 'tom', '.']"
weather,what's the weather like in grand rapids,"[""'s"", 'weather', 'like', 'grand', 'rapids']"
schedule,Schedule swimming. ,"['schedule', 'swim', '.']"
navigate,give me directions to nearest mall,"['give', 'directions', 'nearest', 'mall']"
schedule,What is the date of my next medicine event and who will be attending?,"['date', 'next', 'medicine', 'event', 'who', 'attend']"
schedule,Set a reminder for an optometrist appointment with jeff later this week at 3pm,"['set', 'reminder', 'optometrist', 'appointment', 'jeff', 'later', 'week', '3pm']"
schedule,remind me about that meeting later,"['remind', 'meet', 'later']"
schedule,set a reminder,"['set', 'reminder']"
navigate,"I need a grocery store near me, with no traffic.","['need', 'grocery', 'store', 'near', 'traffic', '.']"
weather,what's the weather like,"[""'s"", 'weather', 'like']"
navigate,"Car I'd like to eat pizza, please pick come restaurant within 3 miles and send the quickest route on screen","['car', ""'d"", 'like', 'eat', 'pizza', 'please', 'pick', 'come', 'restaurant', 'within', '3', 'miles', 'send', 'quickest', 'route', 'screen']"
weather,will it be raining in the next 7 days,"['rain', 'next', '7', 'days']"
navigate,Where is the closest Chinese restaurant?,"['where', 'closest', 'chinese', 'restaurant']"
navigate,give me directions to my friends house,"['give', 'directions', 'friends', 'house']"
schedule,show me what time i need to take my pills,"['show', 'time', 'need', 'take', 'pills']"
weather,is it going to rain in the next few days tell me when,"['go', 'rain', 'next', 'days', 'tell', 'when']"
schedule,"Schedule a reminder for my tennis activity at 6pm, the tenth with father. ","['schedule', 'reminder', 'tennis', 'activity', '6pm', 'tenth', 'father', '.']"
navigate,What is a quick route home?,"['quick', 'route', 'home']"
navigate,tell me the closest place to get a cup of hot tea,"['tell', 'closest', 'place', 'get', 'cup', 'hot', 'tea']"
navigate,Find me a place where i could have some coffee.,"['find', 'place', 'where', 'could', 'coffee', '.']"
navigate,give me directions to my house,"['give', 'directions', 'house']"
weather,check forecast for today and tomorrow,"['check', 'forecast', 'today', 'tomorrow']"
schedule,find out what time my eye doctor appointment is,"['find', 'time', 'eye', 'doctor', 'appointment']"
schedule,"Set a reminder for an optometrist appointment at 4pm, August 3rd. Make sure my Aunt is there.","['set', 'reminder', 'optometrist', 'appointment', '4pm', 'august', '3rd', '.', 'make', 'sure', 'aunt', '.']"
schedule,on my calendar set a time for tennis at 12 pm,"['calendar', 'set', 'time', 'tennis', '12', 'pm']"
schedule,Schedule a swimming activity with my brother on August 22nd at 2pm.,"['schedule', 'swim', 'activity', 'brother', 'august', '22nd', '2pm', '.']"
weather,Will there be frost in Alameda tomorrow?,"['frost', 'alameda', 'tomorrow']"
schedule,I need to schedule a Doctor's appointment. ,"['need', 'schedule', 'doctor', ""'s"", 'appointment', '.']"
weather,Look at today and tomorrow's forecast and tell me if there will be a blizzard in mountain view,"['look', 'today', 'tomorrow', ""'s"", 'forecast', 'tell', 'blizzard', 'mountain', 'view']"
schedule,put on my calendar that i need to get my lab results this thursday at 3:30,"['put', 'calendar', 'need', 'get', 'lab', 'result', 'thursday', '3:30']"
navigate,give me directions to the nearest parking garage,"['give', 'directions', 'nearest', 'park', 'garage']"
schedule,when am i scheduled for tennis lessons,"['when', 'schedule', 'tennis', 'lessons']"
navigate,Need a coffee place within 4 miles with the quickest route.,"['need', 'coffee', 'place', 'within', '4', 'miles', 'quickest', 'route', '.']"
weather,car is it going to snow today,"['car', 'go', 'snow', 'today']"
schedule,what is the date and time of the conference,"['date', 'time', 'conference']"
schedule,When is my swimming activity and who is attending?,"['when', 'swim', 'activity', 'who', 'attend']"
schedule,What day is the swimming party and who will be attending?,"['day', 'swim', 'party', 'who', 'attend']"
schedule,what day and time did i schedule my blood test for,"['day', 'time', 'schedule', 'blood', 'test']"
weather,find weekly weather forecast,"['find', 'weekly', 'weather', 'forecast']"
navigate,I need the quickest route to a rest stop. I am so tired.,"['need', 'quickest', 'route', 'rest', 'stop', '.', 'tire', '.']"
schedule,"Car, schedule a conference at 1pm today with the infrastructure team. ","['car', 'schedule', 'conference', '1pm', 'today', 'infrastructure', 'team', '.']"
navigate,Locate my friends address for me.,"['locate', 'friends', 'address', '.']"
schedule,Set a reminder for tennis at 2 pm with Tom next month on the 13th.,"['set', 'reminder', 'tennis', '2', 'pm', 'tom', 'next', 'month', '13th', '.']"
navigate,Where can I get pizza?,"['where', 'get', 'pizza']"
weather,what is the current temperature,"['current', 'temperature']"
schedule,what is on my schedule today,"['schedule', 'today']"
navigate,"Car I need a parking garage in the area, please find something for me","['car', 'need', 'park', 'garage', 'area', 'please', 'find', 'something']"
schedule,What is the date and time of my next optometrist appointment?,"['date', 'time', 'next', 'optometrist', 'appointment']"
schedule,Set a reminder to take medicine at 10am on the 11th with my brother,"['set', 'reminder', 'take', 'medicine', '10am', '11th', 'brother']"
schedule,What time is my next dinner event and who will be attending?,"['time', 'next', 'dinner', 'event', 'who', 'attend']"
navigate,I need a route to the shopping center with no traffic. ,"['need', 'route', 'shop', 'center', 'traffic', '.']"
navigate,"Car I need a parking garage in the shortest distance, please help me!","['car', 'need', 'park', 'garage', 'shortest', 'distance', 'please', 'help', '!']"
weather,tell me how hot it's going to be in the forecast for the weather,"['tell', 'hot', ""'s"", 'go', 'forecast', 'weather']"
navigate,What grocery stores are here?,"['grocery', 'store']"
weather,what is the weather is it going to rain,"['weather', 'go', 'rain']"
weather,Will it be snowing in Mount View over the next 2 days?,"['snow', 'mount', 'view', 'next', '2', 'days']"
schedule,i have a dentist appointment on the 12th of this month,"['dentist', 'appointment', '12th', 'month']"
navigate,Local chinese restaurant is needed pronto.,"['local', 'chinese', 'restaurant', 'need', 'pronto', '.']"
navigate,give me directions to the nearest shopping center,"['give', 'directions', 'nearest', 'shop', 'center']"
weather,what's the weather like on my drive today,"[""'s"", 'weather', 'like', 'drive', 'today']"
schedule,Schedule a conference at 6 pm on the tenth with sales team.,"['schedule', 'conference', '6', 'pm', 'tenth', 'sales', 'team', '.']"
weather,how's the weather in new york,"[""'s"", 'weather', 'new', 'york']"
navigate,get directions to home,"['get', 'directions', 'home']"
weather,is it going to be cloudy this week,"['go', 'cloudy', 'week']"
navigate,Find a shopping mall that i can get to with the least amount of traffic.,"['find', 'shop', 'mall', 'get', 'least', 'amount', 'traffic', '.']"
schedule,set an alarm for the football game,"['set', 'alarm', 'football', 'game']"
schedule,Schedule a conference with the executive team for the 15th of this month at 9am.,"['schedule', 'conference', 'executive', 'team', '15th', 'month', '9am', '.']"
schedule,Set a reminder that I have a lab appointment with Tom at 4pm on the 5th of this month,"['set', 'reminder', 'lab', 'appointment', 'tom', '4pm', '5th', 'month']"
weather,Will it be overcast in San Mateo over the next 48 hours?,"['overcast', 'san', 'mateo', 'next', '48', 'hours']"
weather,what's the forecast report,"[""'s"", 'forecast', 'report']"
schedule,Hello car. Hi I want to find out the time and the parties attending my lab appointment please. ,"['hello', 'car', '.', 'hi', 'want', 'find', 'time', 'party', 'attend', 'lab', 'appointment', 'please', '.']"
schedule,Schedule a tennis match for 3pm this week with Jeff.,"['schedule', 'tennis', 'match', '3pm', 'week', 'jeff', '.']"
weather,Will it be misty in Alhambra on Monday?,"['misty', 'alhambra', 'monday']"
weather,will it rain next week,"['rain', 'next', 'week']"
weather,Will it be foggy on Tuesday in Redwood City?,"['foggy', 'tuesday', 'redwood', 'city']"
navigate,give me directions to starbucks,"['give', 'directions', 'starbucks']"
navigate,Where is a nearby rest stop?,"['where', 'nearby', 'rest', 'stop']"
weather,Will it be overcast in Boston on Saturday?,"['overcast', 'boston', 'saturday']"
weather,what is the weather today in tomorrow,"['weather', 'today', 'tomorrow']"
weather,what's the weather going to be like this week,"[""'s"", 'weather', 'go', 'like', 'week']"
schedule,remind me about the conference tomorrow at 12 pm in conference room 100,"['remind', 'conference', 'tomorrow', '12', 'pm', 'conference', 'room', '100']"
weather,what's the weather like today and tomorrow,"[""'s"", 'weather', 'like', 'today', 'tomorrow']"
schedule,schedule meeting,"['schedule', 'meet']"
navigate,take me to the mall to buy some clothes,"['take', 'mall', 'buy', 'clothe']"
schedule,"What time is my yoga class, and who all will be there?","['time', 'yoga', 'class', 'who']"
navigate,Where is the closest shopping center?,"['where', 'closest', 'shop', 'center']"
navigate,give me a location to a local parking lot,"['give', 'location', 'local', 'park', 'lot']"
schedule,Set a reminder for me for the meeting next week at 5pm with my boss in which we will go over the budget.,"['set', 'reminder', 'meet', 'next', 'week', '5pm', 'boss', 'go', 'budget', '.']"
schedule,when am i supposed to swim tomorrow,"['when', 'suppose', 'swim', 'tomorrow']"
navigate,give me directions to the closest grocery store,"['give', 'directions', 'closest', 'grocery', 'store']"
schedule,"Set a reminder for my lab appointment at 2pm, this Tuesday with father. ","['set', 'reminder', 'lab', 'appointment', '2pm', 'tuesday', 'father', '.']"
schedule,i have a meeting tomorrow at 5 pm remind me 10 minutes before hand and attach my agenda to the calendar at 3,"['meet', 'tomorrow', '5', 'pm', 'remind', '10', 'minutes', 'hand', 'attach', 'agenda', 'calendar', '3']"
schedule,Can you look up the what time my football game is this week?,"['look', 'time', 'football', 'game', 'week']"
weather,Will it be dry in New York on Wednesday?,"['dry', 'new', 'york', 'wednesday']"
weather,Will it be foggy in brentwood on friday?,"['foggy', 'brentwood', 'friday']"
schedule,Remind me about the football activity at 4pm on the 13th with Tom,"['remind', 'football', 'activity', '4pm', '13th', 'tom']"
weather,what is the weather is it going to rain,"['weather', 'go', 'rain']"
weather,what is the weather forecast for the weekend,"['weather', 'forecast', 'weekend']"
weather,what's the weather forecast in new york,"[""'s"", 'weather', 'forecast', 'new', 'york']"
navigate,Can I find a chinese restaurant?,"['find', 'chinese', 'restaurant']"
schedule,schedule a doctors appointment on the 12th,"['schedule', 'doctor', 'appointment', '12th']"
weather,Will it drizzle in Los Angeles today?,"['drizzle', 'los', 'angeles', 'today']"
weather,Will it be windy in redwood city today?,"['windy', 'redwood', 'city', 'today']"
schedule,car set up appointment for the 12th for my doctor on the calendar,"['car', 'set', 'appointment', '12th', 'doctor', 'calendar']"
navigate,Where does my friend live?,"['where', 'friend', 'live']"
schedule,Schedule a dentist appointment on the 8th at 1 pm. Ana will be joining you.,"['schedule', 'dentist', 'appointment', '8th', '1', 'pm', '.', 'ana', 'join', '.']"
navigate,Where can I go shopping?,"['where', 'go', 'shop']"
navigate,Please give me the address and directions via a route with no traffic to a nearby grocery store. ,"['please', 'give', 'address', 'directions', 'via', 'route', 'traffic', 'nearby', 'grocery', 'store', '.']"
weather,Will it drizzle in Camarillo tomorrow?,"['drizzle', 'camarillo', 'tomorrow']"
weather,what is the forecast for this week,"['forecast', 'week']"
schedule,car what is the date and time of my next appointment with my optometrist,"['car', 'date', 'time', 'next', 'appointment', 'optometrist']"
weather,is it going to snow next week,"['go', 'snow', 'next', 'week']"
weather,what is the forecast for the rest of the day,"['forecast', 'rest', 'day']"
weather,Will it rain in Chicago next week?,"['rain', 'chicago', 'next', 'week']"
schedule,What day is my lab appointment and who is coming with? ,"['day', 'lab', 'appointment', 'who', 'come']"
navigate,Can you find me the fastest route to a pizza restaurant?,"['find', 'fastest', 'route', 'pizza', 'restaurant']"
navigate,I need groceries.,"['need', 'groceries', '.']"
weather,what is the temperature,['temperature']
navigate,where is a restaurant,"['where', 'restaurant']"
navigate,Please give me the address and directions via the quickest route to the nearest gas station. ,"['please', 'give', 'address', 'directions', 'via', 'quickest', 'route', 'nearest', 'gas', 'station', '.']"
navigate,find me a nearby shopping mall shopping center,"['find', 'nearby', 'shop', 'mall', 'shop', 'center']"
schedule,Schedule meeting. ,"['schedule', 'meet', '.']"
weather,what's the weather like in new york city,"[""'s"", 'weather', 'like', 'new', 'york', 'city']"
navigate,I need the quickest route to the hospital. ,"['need', 'quickest', 'route', 'hospital', '.']"
weather,Will it be humid in exeter tomorrow?,"['humid', 'exeter', 'tomorrow']"
weather,Will the weather be warm tomorrow in Los Angeles?,"['weather', 'warm', 'tomorrow', 'los', 'angeles']"
weather,please show me the weekly weather report,"['please', 'show', 'weekly', 'weather', 'report']"
weather,tell me what the temperature will be like for the next week,"['tell', 'temperature', 'like', 'next', 'week']"
schedule,what's on the agenda for today's meeting,"[""'s"", 'agenda', 'today', ""'s"", 'meet']"
navigate,Get the address to a chinese restaurant that i could get to the quickest.,"['get', 'address', 'chinese', 'restaurant', 'could', 'get', 'quickest', '.']"
weather,show me the weather for the next 7 days,"['show', 'weather', 'next', '7', 'days']"
schedule,Schedule a football activity with my aunt on the 5th at 4pm.,"['schedule', 'football', 'activity', 'aunt', '5th', '4pm', '.']"
weather,what is the temperature,['temperature']
schedule,"I need you to set a schedule for a meeting at 3pm, the 5th with vice president to onboard new members","['need', 'set', 'schedule', 'meet', '3pm', '5th', 'vice', 'president', 'onboard', 'new', 'members']"
navigate,Quickest route to my friends house.,"['quickest', 'route', 'friends', 'house', '.']"
navigate,Can you find me the closest hospital to me?,"['find', 'closest', 'hospital']"
navigate,show me the nearest shopping mall,"['show', 'nearest', 'shop', 'mall']"
schedule,What day is the football activity and who is coming?,"['day', 'football', 'activity', 'who', 'come']"
navigate,Where can I get Chinese food?,"['where', 'get', 'chinese', 'food']"
weather,is it supposed to rain this week,"['suppose', 'rain', 'week']"
navigate,Get me the address of a chinese restaurant around this area.,"['get', 'address', 'chinese', 'restaurant', 'around', 'area', '.']"
schedule,When is my optometrist appointment? ,"['when', 'optometrist', 'appointment']"
navigate,Can you find me the nearest pizza restaurant?,"['find', 'nearest', 'pizza', 'restaurant']"
schedule,what is the agenda of my meeting today,"['agenda', 'meet', 'today']"
schedule,Schedule swimming tomorrow at 2 with my brother,"['schedule', 'swim', 'tomorrow', '2', 'brother']"
navigate,get me directions to the closest starbucks,"['get', 'directions', 'closest', 'starbucks']"
weather,what is the local weather forecast for this week,"['local', 'weather', 'forecast', 'week']"
navigate,give me directions to the local starbucks,"['give', 'directions', 'local', 'starbucks']"
navigate,where's the nearest place to get lunch,"['where', ""'s"", 'nearest', 'place', 'get', 'lunch']"
navigate,Where is there a pizza place near me?,"['where', 'pizza', 'place', 'near']"
weather,what is the weather going to be like tomorrow show me the 7 day forecast,"['weather', 'go', 'like', 'tomorrow', 'show', '7', 'day', 'forecast']"
navigate,I want pizza.,"['want', 'pizza', '.']"
weather,please show me the weekly weather report,"['please', 'show', 'weekly', 'weather', 'report']"
navigate,What is the address of my house?,"['address', 'house']"
weather,check the weather for today,"['check', 'weather', 'today']"
weather,what will the weather be like in the city,"['weather', 'like', 'city']"
schedule,What time is my doctor appointment and who is attending?,"['time', 'doctor', 'appointment', 'who', 'attend']"
navigate,Where does my friend live?,"['where', 'friend', 'live']"
weather,Will there be rain in the forecast for Cleveland for the next 7 days?,"['rain', 'forecast', 'cleveland', 'next', '7', 'days']"
schedule,Schedule tennis for 10am on the tenth with Tom,"['schedule', 'tennis', '10am', 'tenth', 'tom']"
weather,how cloudy is it going to be for the next week,"['cloudy', 'go', 'next', 'week']"
weather,Is it gonna be foggy in Exeter on next week?,"['gon', 'na', 'foggy', 'exeter', 'next', 'week']"
schedule,can you set a reminder that i have a dinner at 7pm with Marie,"['set', 'reminder', 'dinner', '7pm', 'marie']"
navigate,Please give me the address and directions via the quickest route to a hospital around me. ,"['please', 'give', 'address', 'directions', 'via', 'quickest', 'route', 'hospital', 'around', '.']"
navigate,Car I'm desiring some tea,"['car', ""'m"", 'desire', 'tea']"
schedule,What is the date and time i should take my medicine?,"['date', 'time', 'take', 'medicine']"
weather,what is the weather like today and tomorrow,"['weather', 'like', 'today', 'tomorrow']"
navigate,find starbucks,"['find', 'starbucks']"
schedule,Remind me about tennis at 10am at the end of March with Martha,"['remind', 'tennis', '10am', 'end', 'march', 'martha']"
weather,what's the temperature going to be like today and tomorrow,"[""'s"", 'temperature', 'go', 'like', 'today', 'tomorrow']"
weather,Will there be dew in Brentwood this week?,"['dew', 'brentwood', 'week']"
weather,Will it be warm in Brentwood tomorrow?,"['warm', 'brentwood', 'tomorrow']"
weather,Is it gonna rain in Manhattan today and tomorrow?,"['gon', 'na', 'rain', 'manhattan', 'today', 'tomorrow']"
weather,Tell me will there be snow in redwood city on monday?,"['tell', 'snow', 'redwood', 'city', 'monday']"
weather,what's the weather supposed to be like in new york city on Monday,"[""'s"", 'weather', 'suppose', 'like', 'new', 'york', 'city', 'monday']"
weather,Is there going to be hail in Los Angeles this weekend?,"['go', 'hail', 'los', 'angeles', 'weekend']"
weather,is it going to snow any this week,"['go', 'snow', 'week']"
navigate,i need directions to a local fast food restaurant please,"['need', 'directions', 'local', 'fast', 'food', 'restaurant', 'please']"
navigate,i feel like some coffee where's the nearest place,"['feel', 'like', 'coffee', 'where', ""'s"", 'nearest', 'place']"
navigate,how many hotels are around here,"['many', 'hotels', 'around']"
navigate,Can you find me the fastest route to a parking garage?,"['find', 'fastest', 'route', 'park', 'garage']"
schedule,What date and time is my dentist appointment at?,"['date', 'time', 'dentist', 'appointment']"
navigate,Where is a nearby parking garage?,"['where', 'nearby', 'park', 'garage']"
schedule,set an appointment to swim next week,"['set', 'appointment', 'swim', 'next', 'week']"
weather,Will it be hot in Redwood City on Monday?,"['hot', 'redwood', 'city', 'monday']"
schedule,What is the time and date of my doctors appointment?,"['time', 'date', 'doctor', 'appointment']"
weather,is it going to rain today,"['go', 'rain', 'today']"
navigate,find me the nearest grocery store,"['find', 'nearest', 'grocery', 'store']"
schedule,What date is my dentist appointment and who is attending?,"['date', 'dentist', 'appointment', 'who', 'attend']"
weather,is there snow in the forecast for the week,"['snow', 'forecast', 'week']"
weather,car what is the weather going to be like in the next several days,"['car', 'weather', 'go', 'like', 'next', 'several', 'days']"
weather,what is the temperature for the next 7 days weather forecast,"['temperature', 'next', '7', 'days', 'weather', 'forecast']"
navigate,navigate me to the nearest hotel,"['navigate', 'nearest', 'hotel']"
navigate,I need the address of a the shopping center that I can get to the quickest from here,"['need', 'address', 'shop', 'center', 'get', 'quickest']"
schedule,"What parties are on the calendar, what time are they, and where are they being held?","['party', 'calendar', 'time', 'where', 'hold']"
weather,what's the weekly weather report for the city,"[""'s"", 'weekly', 'weather', 'report', 'city']"
schedule,when is the meeting,"['when', 'meet']"
weather,what's today's and tomorrow's forecast,"[""'s"", 'today', ""'s"", 'tomorrow', ""'s"", 'forecast']"
navigate,navigate to the nearest starbucks,"['navigate', 'nearest', 'starbucks']"
schedule,add the football game to my calendar,"['add', 'football', 'game', 'calendar']"
weather,Will it be windy in Durham this week?,"['windy', 'durham', 'week']"
weather,will it rain next week,"['rain', 'next', 'week']"
navigate,Where can I get Chinese food?,"['where', 'get', 'chinese', 'food']"
navigate,take me to the mall to buy some clothes,"['take', 'mall', 'buy', 'clothe']"
navigate,find me a hotel somewhere near my current location,"['find', 'hotel', 'somewhere', 'near', 'current', 'location']"
schedule,Please tell me what dates my football events are.,"['please', 'tell', 'date', 'football', 'events', '.']"
navigate,can you give me directions to the nearest hotel,"['give', 'directions', 'nearest', 'hotel']"
weather,is it going to rain sometime this week,"['go', 'rain', 'sometime', 'week']"
weather,give me the weather for next week,"['give', 'weather', 'next', 'week']"
navigate,find me a nearby parking garage or parking lot,"['find', 'nearby', 'park', 'garage', 'park', 'lot']"
schedule,What is the time and location of my next conference and who will be attending it?,"['time', 'location', 'next', 'conference', 'who', 'attend']"
schedule,insert reminder to take my pills in the calendar,"['insert', 'reminder', 'take', 'pills', 'calendar']"
schedule,Set a reminder for the conference with the executive team at 5pm on Monday August 7th.,"['set', 'reminder', 'conference', 'executive', 'team', '5pm', 'monday', 'august', '7th', '.']"
schedule,find what time my doctor appointment is for,"['find', 'time', 'doctor', 'appointment']"
navigate,Is there a Philz near?,"['philz', 'near']"
schedule,what time is my swimming lessons scheduled,"['time', 'swim', 'lessons', 'schedule']"
schedule,tell me when i have yoga class,"['tell', 'when', 'yoga', 'class']"
weather,what is the weather like right now,"['weather', 'like', 'right']"
weather,what is the temperature going to be like this week,"['temperature', 'go', 'like', 'week']"
weather,Currently are there clear skies in redwood city?,"['currently', 'clear', 'sky', 'redwood', 'city']"
schedule,who is coming with me to my doctor appointment,"['who', 'come', 'doctor', 'appointment']"
navigate,what route can i take home to avoid traffic,"['route', 'take', 'home', 'avoid', 'traffic']"
weather,How is the weather this week,"['weather', 'week']"
schedule,Please add my optometrist appointment to my schedule for August 3rd.,"['please', 'add', 'optometrist', 'appointment', 'schedule', 'august', '3rd', '.']"
schedule,what is the date and time of the meeting,"['date', 'time', 'meet']"
schedule,set a reminder on my calendar for football practice at 4:50 pm on august 12th,"['set', 'reminder', 'calendar', 'football', 'practice', '4:50', 'pm', 'august', '12th']"
schedule,remind me about my lab appointment,"['remind', 'lab', 'appointment']"
navigate,directions to the grocery store,"['directions', 'grocery', 'store']"
navigate,show me the locations of all of the nearby motels,"['show', 'locations', 'nearby', 'motels']"
weather,Is it gonna be warm in Menlo Park on Monday?,"['gon', 'na', 'warm', 'menlo', 'park', 'monday']"
navigate,show me the locations of all of the nearby motels,"['show', 'locations', 'nearby', 'motels']"
weather,what is the weather like in the city,"['weather', 'like', 'city']"
navigate,find the nearest coffee shop,"['find', 'nearest', 'coffee', 'shop']"
weather,what is the weather like today,"['weather', 'like', 'today']"
navigate,Locate a nearby shopping mall for me.,"['locate', 'nearby', 'shop', 'mall', '.']"
schedule,What time is my lab appointment and what party is attending?,"['time', 'lab', 'appointment', 'party', 'attend']"
navigate,give me a quick route to a grocery store,"['give', 'quick', 'route', 'grocery', 'store']"
weather,what is the weather going to be today and tomorrow,"['weather', 'go', 'today', 'tomorrow']"
navigate,Directions to a hotel please. ,"['directions', 'hotel', 'please', '.']"
weather,is it supposed to snow today,"['suppose', 'snow', 'today']"
navigate,directions to the mall,"['directions', 'mall']"
weather,what's the forecast for today,"[""'s"", 'forecast', 'today']"
navigate,Where is the nearest pizza place?,"['where', 'nearest', 'pizza', 'place']"
weather,give me weather forecast for today,"['give', 'weather', 'forecast', 'today']"
weather,what's the weather like today,"[""'s"", 'weather', 'like', 'today']"
weather,what will the temperature be this weekend,"['temperature', 'weekend']"
weather,Will it be warm in Brentwood on Sunday?,"['warm', 'brentwood', 'sunday']"
navigate,Where does my friend live?,"['where', 'friend', 'live']"
weather,what is the weather like today,"['weather', 'like', 'today']"
schedule,Please set a reminder that I have a conference call with the VP on August 14th at 6pm.,"['please', 'set', 'reminder', 'conference', 'call', 'vp', 'august', '14th', '6pm', '.']"
weather,check the weather forecast,"['check', 'weather', 'forecast']"
schedule,"Set a reminder for a football activity at 10 am, on Friday, with Tom. ","['set', 'reminder', 'football', 'activity', '10', 'friday', 'tom', '.']"
navigate,find the nearest shopping mall on the map,"['find', 'nearest', 'shop', 'mall', 'map']"
weather,is there a chance of snow in this weeks weather forecast,"['chance', 'snow', 'weeks', 'weather', 'forecast']"
navigate,directions to the grocery store,"['directions', 'grocery', 'store']"
weather,Will it be warm in Camarillo over the next 2 days?,"['warm', 'camarillo', 'next', '2', 'days']"
schedule,schedule a doctors appointment on the 12th,"['schedule', 'doctor', 'appointment', '12th']"
navigate,find the nearest shopping mall on the map,"['find', 'nearest', 'shop', 'mall', 'map']"
weather,will it snow this week,"['snow', 'week']"
weather,what is the weather going to be like today and tomorrow,"['weather', 'go', 'like', 'today', 'tomorrow']"
weather,What is the current high temperature in Atherton? ,"['current', 'high', 'temperature', 'atherton']"
schedule,schedule my doctors appointment on the 12th,"['schedule', 'doctor', 'appointment', '12th']"
navigate,Where can I eat pizza?,"['where', 'eat', 'pizza']"
weather,what is the temperature outside,"['temperature', 'outside']"
navigate,take me to a chinese restaurant,"['take', 'chinese', 'restaurant']"
schedule,Schedule a doctor Appointment. ,"['schedule', 'doctor', 'appointment', '.']"
weather,How will it be the weather forecast for the next two days in Exeter?,"['weather', 'forecast', 'next', 'two', 'days', 'exeter']"
schedule,what time is the group meeting,"['time', 'group', 'meet']"
schedule,please tell me about the time and date my next meeting is scheduled for and what i hope to accomplish it,"['please', 'tell', 'time', 'date', 'next', 'meet', 'schedule', 'hope', 'accomplish']"
navigate,search for nearby cafe,"['search', 'nearby', 'cafe']"
weather,what's the weather forecast going to be for each day this upcoming week is it going to snow,"[""'s"", 'weather', 'forecast', 'go', 'day', 'upcoming', 'week', 'go', 'snow']"
schedule,I need to find out the time and parties attending for my medicine taking. ,"['need', 'find', 'time', 'party', 'attend', 'medicine', 'take', '.']"
schedule,Can you tell me who's attending my next tennis activity? Also the date? ,"['tell', 'who', ""'s"", 'attend', 'next', 'tennis', 'activity', 'also', 'date']"
navigate,where's the nearest place to get a hot cup of tea,"['where', ""'s"", 'nearest', 'place', 'get', 'hot', 'cup', 'tea']"
weather,Look in mountain view and tell me if there will be hail this weekend,"['look', 'mountain', 'view', 'tell', 'hail', 'weekend']"
weather,what is the weather,['weather']
navigate,give me directions to the nearest shopping center,"['give', 'directions', 'nearest', 'shop', 'center']"
schedule,what is the date of the next vaccination,"['date', 'next', 'vaccination']"
navigate,find route to the hospital,"['find', 'route', 'hospital']"
schedule,when is my optometrist's appointment on the 12th,"['when', 'optometrist', ""'s"", 'appointment', '12th']"
schedule,set a calendar reminder to go out to dinner,"['set', 'calendar', 'reminder', 'go', 'dinner']"
navigate,What is the address of  my friend's house?,"['address', 'friend', ""'s"", 'house']"
schedule,Please schedule my yoga class at 1pm on Thursday with Jon.,"['please', 'schedule', 'yoga', 'class', '1pm', 'thursday', 'jon', '.']"
navigate,Where is the closest rest stop with no traffic? ,"['where', 'closest', 'rest', 'stop', 'traffic']"
navigate,Car I need a parking garage closest to my position: help me please!,"['car', 'need', 'park', 'garage', 'closest', 'position', ':', 'help', 'please', '!']"
schedule,check doctor's appointment date,"['check', 'doctor', ""'s"", 'appointment', 'date']"
weather,give me this week's high temperature,"['give', 'week', ""'s"", 'high', 'temperature']"
navigate,What is a good Chinese restaurant?,"['good', 'chinese', 'restaurant']"
weather,what is the forecast for the city this week,"['forecast', 'city', 'week']"
weather,what is the forecast for today and tomorrow,"['forecast', 'today', 'tomorrow']"
weather,what is the weather for the next 7 days,"['weather', 'next', '7', 'days']"
navigate,Find me a coffee shop that is closest to my location.,"['find', 'coffee', 'shop', 'closest', 'location', '.']"
navigate,What hospital is nearby?,"['hospital', 'nearby']"
navigate,What hospitals are nearby?,"['hospitals', 'nearby']"
navigate,Where can I get gas?,"['where', 'get', 'gas']"
schedule,Set a reminder for a meeting with my boss on the 12th of this month at 10am to discuss the budget.,"['set', 'reminder', 'meet', 'boss', '12th', 'month', '10am', 'discuss', 'budget', '.']"
navigate,i'd like to know where i can get some chinese takeout,"[""'d"", 'like', 'know', 'where', 'get', 'chinese', 'takeout']"
weather,what's the weather forecast,"[""'s"", 'weather', 'forecast']"
schedule,set an alarm for my doctor's appointment,"['set', 'alarm', 'doctor', ""'s"", 'appointment']"
navigate,find nearest coffee shop,"['find', 'nearest', 'coffee', 'shop']"
weather,what is the weather going to be today and tomorrow,"['weather', 'go', 'today', 'tomorrow']"
weather,what's the weather like today,"[""'s"", 'weather', 'like', 'today']"
weather,Will it be hot in Grand Rapids on Friday?,"['hot', 'grand', 'rapids', 'friday']"
schedule,remind me of my dentist appointment,"['remind', 'dentist', 'appointment']"
schedule,Info for lab appointment,"['info', 'lab', 'appointment']"
navigate,direct me to the nearest starbucks,"['direct', 'nearest', 'starbucks']"
schedule,What time and date is my conference and what is the agenda?,"['time', 'date', 'conference', 'agenda']"
schedule,What time is my lab appointment and who will be attending it?,"['time', 'lab', 'appointment', 'who', 'attend']"
