category,text
navigate,Please give me the address and directions via the quickest route to a hospital around me. 
navigate,Car I'm desiring some tea
schedule,What is the date and time i should take my medicine?
weather,what is the weather like today and tomorrow
navigate,find starbucks
schedule,Remind me about tennis at 10am at the end of March with Martha
weather,what's the temperature going to be like today and tomorrow
weather,Will there be dew in Brentwood this week?
weather,Will it be warm in Brentwood tomorrow?
weather,Is it gonna rain in Manhattan today and tomorrow?
weather,Tell me will there be snow in redwood city on monday?
weather,what's the weather supposed to be like in new york city on Monday
weather,Is there going to be hail in Los Angeles this weekend?
weather,is it going to snow any this week
navigate,i need directions to a local fast food restaurant please
navigate,i feel like some coffee where's the nearest place
navigate,how many hotels are around here
navigate,Can you find me the fastest route to a parking garage?
schedule,What date and time is my dentist appointment at?
navigate,Where is a nearby parking garage?
schedule,set an appointment to swim next week
weather,Will it be hot in Redwood City on Monday?
schedule,What is the time and date of my doctors appointment?
weather,is it going to rain today
navigate,find me the nearest grocery store
schedule,What date is my dentist appointment and who is attending?
weather,is there snow in the forecast for the week
weather,car what is the weather going to be like in the next several days
weather,what is the temperature for the next 7 days weather forecast
navigate,navigate me to the nearest hotel
navigate,I need the address of a the shopping center that I can get to the quickest from here
schedule,"What parties are on the calendar, what time are they, and where are they being held?"
weather,what's the weekly weather report for the city
schedule,when is the meeting
weather,what's today's and tomorrow's forecast
navigate,navigate to the nearest starbucks
schedule,add the football game to my calendar
weather,Will it be windy in Durham this week?
weather,will it rain next week
navigate,Where can I get Chinese food?
navigate,take me to the mall to buy some clothes
navigate,find me a hotel somewhere near my current location
schedule,Please tell me what dates my football events are.
navigate,can you give me directions to the nearest hotel
weather,is it going to rain sometime this week
weather,give me the weather for next week
navigate,find me a nearby parking garage or parking lot
schedule,What is the time and location of my next conference and who will be attending it?
schedule,insert reminder to take my pills in the calendar
schedule,Set a reminder for the conference with the executive team at 5pm on Monday August 7th.
schedule,find what time my doctor appointment is for
navigate,Is there a Philz near?
schedule,what time is my swimming lessons scheduled
schedule,tell me when i have yoga class
weather,what is the weather like right now
weather,what is the temperature going to be like this week
weather,Currently are there clear skies in redwood city?
schedule,who is coming with me to my doctor appointment
navigate,what route can i take home to avoid traffic
weather,How is the weather this week
schedule,Please add my optometrist appointment to my schedule for August 3rd.
schedule,what is the date and time of the meeting
schedule,set a reminder on my calendar for football practice at 4:50 pm on august 12th
schedule,remind me about my lab appointment
navigate,directions to the grocery store
navigate,show me the locations of all of the nearby motels
weather,Is it gonna be warm in Menlo Park on Monday?
navigate,show me the locations of all of the nearby motels
weather,what is the weather like in the city
navigate,find the nearest coffee shop
weather,what is the weather like today
navigate,Locate a nearby shopping mall for me.
schedule,What time is my lab appointment and what party is attending?
navigate,give me a quick route to a grocery store
weather,what is the weather going to be today and tomorrow
navigate,Directions to a hotel please. 
weather,is it supposed to snow today
navigate,directions to the mall
weather,what's the forecast for today
navigate,Where is the nearest pizza place?
weather,give me weather forecast for today
weather,what's the weather like today
weather,what will the temperature be this weekend
weather,Will it be warm in Brentwood on Sunday?
navigate,Where does my friend live?
weather,what is the weather like today
schedule,Please set a reminder that I have a conference call with the VP on August 14th at 6pm.
weather,check the weather forecast
schedule,"Set a reminder for a football activity at 10 am, on Friday, with Tom. "
navigate,find the nearest shopping mall on the map
weather,is there a chance of snow in this weeks weather forecast
navigate,directions to the grocery store
weather,Will it be warm in Camarillo over the next 2 days?
schedule,schedule a doctors appointment on the 12th
navigate,find the nearest shopping mall on the map
weather,will it snow this week
weather,what is the weather going to be like today and tomorrow
weather,What is the current high temperature in Atherton? 
schedule,schedule my doctors appointment on the 12th
navigate,Where can I eat pizza?
weather,what is the temperature outside
navigate,take me to a chinese restaurant
schedule,Schedule a doctor Appointment. 
weather,How will it be the weather forecast for the next two days in Exeter?
schedule,what time is the group meeting
schedule,please tell me about the time and date my next meeting is scheduled for and what i hope to accomplish it
navigate,search for nearby cafe
weather,what's the weather forecast going to be for each day this upcoming week is it going to snow
schedule,I need to find out the time and parties attending for my medicine taking. 
schedule,Can you tell me who's attending my next tennis activity? Also the date? 
navigate,where's the nearest place to get a hot cup of tea
weather,Look in mountain view and tell me if there will be hail this weekend
weather,what is the weather
navigate,give me directions to the nearest shopping center
schedule,what is the date of the next vaccination
navigate,find route to the hospital
schedule,when is my optometrist's appointment on the 12th
schedule,set a calendar reminder to go out to dinner
navigate,What is the address of  my friend's house?
schedule,Please schedule my yoga class at 1pm on Thursday with Jon.
navigate,Where is the closest rest stop with no traffic? 
navigate,Car I need a parking garage closest to my position: help me please!
schedule,check doctor's appointment date
weather,give me this week's high temperature
navigate,What is a good Chinese restaurant?
weather,what is the forecast for the city this week
weather,what is the forecast for today and tomorrow
weather,what is the weather for the next 7 days
navigate,Find me a coffee shop that is closest to my location.
navigate,What hospital is nearby?
navigate,What hospitals are nearby?
navigate,Where can I get gas?
schedule,Set a reminder for a meeting with my boss on the 12th of this month at 10am to discuss the budget.
navigate,i'd like to know where i can get some chinese takeout
weather,what's the weather forecast
schedule,set an alarm for my doctor's appointment
navigate,find nearest coffee shop
weather,what is the weather going to be today and tomorrow
weather,what's the weather like today
weather,Will it be hot in Grand Rapids on Friday?
schedule,remind me of my dentist appointment
schedule,Info for lab appointment
navigate,direct me to the nearest starbucks
schedule,What time and date is my conference and what is the agenda?
schedule,What time is my lab appointment and who will be attending it?
navigate,Car I want to have some tea! Is there anything in the area?
weather,what's the temperature going to be this week
weather,What will the temperature be this weekend in grand rapids?
navigate,Where can a girl get some pizza around here?
navigate,Find a pizza restaurant that is open near me.
navigate,find me a place i can go to sit and drink coffee or tea
navigate,Car I'm desiring pizza: pick a pizza restaurant with least traffic on our way!
navigate,take me to a chinese restaurant
weather,What is the low today in Brentwood?
navigate,find me the best parking spot
navigate,give me directions to the grocery store
navigate,What is my home address?
weather,what's the forecast report
weather,Which one is gonna be the lowest temperature today in New York?
navigate,Car I wanna go to a grocery store!
navigate,I'm desiring to eat at some Chinese restaurant: is there any in the area?
navigate,navigate to the nearest coffee shop
weather,Will it rain in fresno over the next seven days
navigate,Where can I get groceries?
weather,give me the full weekly weather forecast
navigate,where's parking
schedule,Schedule a meeting. 
schedule,i have a dinner. when is it and who is attending
navigate,find me a hotel nearby
weather,Will the weather be overcast in Atherton over the next 7 days?
navigate,What is my home address?
navigate,directions to the nearest takeout chinese restaurant
weather,Will it be cloudy in Oakland this week?
schedule,when and where is my meeting
schedule,Schedule dinner with my sister please. 
navigate,Find the quickest way to my friends house around here
weather,does the local forecasts say it'll be cloudy
weather,Will there be dew in Menlo Park next week? 
weather,what's the weather going to be like this week
navigate,i'm looking for a place to eat can you show me directions to the nearest fast food restaurant
schedule,remind me that i have a meeting tomorrow
navigate,Find a coffee shop near me please.
weather,Will it be overcast today in Grand Rapids?
schedule,What is the date and time of my next doctors appointment?
weather,check the weather
weather,Will it be overcast in Alameda on Monday?
navigate,Please give me the address and directions via a quick route to my friend's house. 
schedule,will i be able to make it to my meeting on time
navigate,how do i get to the nearest restaurant
navigate,navigate to the closest restaurant
schedule,tell me when is my next meeting and who are invited in the meeting and what are the agenda of the next meeting
navigate,Where can I get gas?
navigate,give me directions to the nearest parking garage
weather,Is it gonna be cloudy in New York today and tomorrow?
schedule,Schedule a swimming activity with my brother for the 7th at 11am.
schedule,Who is going to yoga and when is it? 
weather,what is the weather for today
schedule,"I need you to set a reminder for a doctor appointment at 11 am, the 7th, with Alex."
navigate,i have to go grocery shopping can you give me directions to the nearest grocery store
weather,What will the temperature in Redwood City be for the next 7 day period?
weather,what's the temperature going to be like this week
navigate,I want coffee.
navigate,find me all the nearest hotels
weather,In Boston is it currently misty?
schedule,remind me when i can get my lab results
navigate,Where is my home?
weather,what will the temperature be for the next week
weather,what's the weather forecast in new york
navigate,Car I wanna go to a shopping center: is there anything within 3 miles?
schedule,"Give me the agenda, date and time of my next meeting. "
schedule,"Can you schedule an optometrist appointment at 1pm, Friday, with Martha? "
weather,start listening what will be the weather for the week
navigate,Find me a local hotel in my area.
navigate,Where is the closest shopping center located at?
weather,what's the weather forecast for the next week
schedule,"Set a reminder for a dentist appointment this month on the 11th at 11am, with Tom."
weather,What is today's forecast in San Francisco?
navigate,Can you find me a Chinese restaurant that is within 5 miles?
weather,Which one is gonna be the highest temperature in Fresno this week?
navigate,i need directions to my house and avoid all heavy traffic
schedule,When is my doctors appointment and who is going?
weather,This week in exeter will it be hot?
schedule,"When is my dentist appointment, the date and time?"
navigate,I need to find a gas station that fast to get to.
schedule,Set a reminder for optometrist appointment on the 15th at 6PM with Marie.
weather,Is durham stormy right now?
schedule,set a date for the next tennis match
weather,will it rain anytime in the next week
schedule,What day and time is my yoga activity?
schedule,set a reminder for the conference
navigate,What grocery stores are around?
weather,what will the temperature be this weekend
schedule,What time is my lab appointment and who will be attending?
weather,What's the forecast in Carson for this weekend?
weather,will it rain next week
weather,give me the 7 day weather forecast
navigate,please give me directions to the nearest starbucks
schedule,"Can you set my calendar for Football activity at 1pm, the 4th, with Tom?"
weather,Over the next seven days will there be any drizzle in camarillo?
schedule,Who is going to my optometrist appointment and what time is it?
navigate,What is the shortest route to home?
navigate,show me directions to the nearest starbucks
schedule,set reminder for vaccination for the 12th of this month
weather,how is the weather in the city this weekend
weather,what is the forecast for new york city
navigate,Where is a parking garage at nearby?
weather,what's the weather like this week
schedule,remind me about that meeting later
navigate,Will you find me the fastest route to a rest stop
schedule,"Can you kindly schedule a meeting at 4pm, later this week with infrastructure to discuss dress code?"
navigate,Please give me the address and directions via a route with no traffic to a rest stop within 2 miles. 
weather,is it going to be raining this weekend
weather,Will it be warm in Cleveland on Tuesday?
navigate,take me home
navigate,i'm looking for some takeout chinese food
navigate,i'd like to know where i can get some chinese takeout
schedule,Set a reminder for dinner at 9am next Wednesday with mother
navigate,Where can I get pizza?
navigate,Where does my friend live? 
schedule,when is my dentist appointment
navigate,What are the directions for the nearest shopping center without traffic?
schedule,add the football game to my calendar
weather,please let me know the weather forecast for tomorrow
schedule,Schedule a meeting for 6 pm with HR
navigate,Find location and address to home that is nearest me.
navigate,Are there any chinese restaurants nearby?
schedule,Schedule a reminder to take medicine with Martha for Saturday at 2pm.
schedule,schedule a new meeting
weather,what's the temperature outside like today
weather,search today's forecast
weather,what is the highest temperature for the two day forecast in durham?
schedule,"Remind me to take my medicine with Ana at 2pm, august 3."
schedule,When is my swimming activity and who will be there? 
navigate,I need the quickest route to a gas station please. 
navigate,please give me an alternate route home
navigate,Where can I find a parking garage?
schedule,put on my calendar that i need to get my lab results this thursday at 3:30
weather,What is the temperature in Danville this week? 
navigate,what are the directions to the nearest chinese restaurant
schedule,What time and date is my next yoga activity?
weather,car what is the weather going to be like in the next several days
weather,tell me what the temperature will be like for the next week
navigate,please give me directions to the nearest starbucks
schedule,set reminder to make doctor's appointment
schedule,Schedule a yoga activity with Jon on Wednesday at 1pm.
schedule,Set a reminder for optometrist appointment at 2 pm today with Marie.
schedule,remind me of my yoga activity with Marie.
navigate,give me directions to the nearest shopping center
navigate,Address for Starbucks please. 
schedule,Set a reminder for yoga on the 2nd with father at 5pm
navigate,Find the shortest distance to a chinese restaurant nearby
schedule,What is the date of my next medicine activity and who will be attending?
navigate,search for nearby cafe
weather,Is it gonna hail in Mountain View this week?
schedule,"How many people are attending the tennis party, and at what time?"
navigate,I need a parking garage that is in the 2 mile range.
weather,Will it be stormy in Carson on Sunday?
schedule,Reminder to take medicine. 
schedule,"Good day car, I would like to schedule a meeting at 9 am, next Wednesday with management to discuss the merger. "
navigate,What is my address?
navigate,I need a route to a gas station and avoid heavy traffic. 
navigate,Please give me the address and directions via the shortest distance to a rest stop around here. 
schedule,reminder of a doctor's appointment at the end of march
navigate,I need a coffee shop within 4 miles. 
schedule,On what day and time should i be taking my medicine?
weather,is it supposed to rain this week
weather,is it raining today
weather,what is the weather forecast in the city
weather,Check the 7 day outlook to see what the highest temperature in oakland will be
navigate,take me to the closest starbucks
navigate,take me to the nearest hotel
weather,what is the forecast for new york city
schedule,"Can you set a reminder for my lab appointment? It needs to be at 5pm, August 22nd, with Martha. "
schedule,I need to find out the time and date for my tennis activity. 
navigate,"Car my home should be around here, please send me the info on screen, I must be a little drunk.."
navigate,where's the nearest shopping mall
schedule,make me an appointment with the optometrist
navigate,Is there a rest stop near me?
weather,what's the temperature going to be like on friday
schedule,remind me of a doctors appointment on the 29th
schedule,Schedule a optometrist appointment with Tom today at 7pm.
schedule,set a reminder for the lab request on 12th
weather,what is the weather today and tomorrow
schedule,"Find out some information for my swimming activity, parties joining me and date. "
schedule,can you tell me what day and what the agenda is for the business meeting i have in the 100 conference room
schedule,when is my next appointment
weather,Is it snowy in alhambra today?
navigate,"Get my home address that is near my location,"
schedule,remind me i have a tennis match on the 12th
schedule,Schedule a yoga activity with Tom on the 8th at 2pm.
navigate,I'm looking for a place to shop for clothes that is around me. Can you find such a place?
navigate,Where can I get tea?
schedule,What time is the tennis activity and who is attending?
weather,Could you tell me if there will be clear skies in Carson on Friday?
schedule,Can you find out the date and parties attending for my tennis activity? 
weather,let me know if there will be snow and ice in the next week's forecast
weather,Will there be a blizzard in seattle this week?
schedule,What day are the football parties I'm going to?
schedule,i would like to schedule a meeting on the 12th what is my agenda for that day
navigate,can you please take me to a coffee house
navigate,find me somewhere to park
schedule,remind me about the date and time that he was going to be there and what the agenda is for his business meaning
weather,can you give me the weather this week for new york city
weather,what's the weekly forecast for cleveland
schedule,add a meeting to my calendar
navigate,Where can I get tea?
schedule,When is yoga? Who's going to be there?
navigate,tell me the best route to get home with the least amount of traffic
weather,what is today's forecast
navigate,I need a gas station
weather,What will be the temperature in manhattan on wednesday?
weather,what's the weather forecast
navigate,find nearest chinese restaurant
navigate,Find me a chinese spot i could get to the quickest.
navigate,Where can I get gas?
schedule,I need a reminder for my doctor appointment on the 1st at 2 pm with Ana. 
navigate,get me directions to the mall
navigate,take me to the nearest chinese restaurant
schedule,what time is my tennis match for this saturday
weather,Will there be frost in Atherton on Friday? 
schedule,What date is my optometrist appointment and what parties are attending?
schedule,what time is my doctor's appointment
weather,What is the 48 hour forecast for oakland?
schedule,schedule swimming time
schedule,What date is the football game and who is attending? 
navigate,Find the address to a hospital or clinic.
navigate,"Car I need to get at my friends house near my current location, please send me their address on the screen"
navigate,"Car, find the address for the grocery store, I need the details of location like the closest one with route details, shortest distance please."
navigate,can you give me directions to the nearest starbucks
schedule,what time do the lab results come in
navigate,where can i get coffee
navigate,Find a gas station that is not farther than 3 miles away.
navigate,Where can I get tea?
schedule,Schedule a tennis activity at 9 am on Monday August 8th with Ana.
schedule,schedule an appointment
schedule,remind me to watch football on sunday
weather,which days are rain forecasted
weather,How is the weather this week in Inglewood?
schedule,who is coming to my doctor appointment with me?
weather,update me on the weekly weather forecast for this week
schedule,i have a doctor's appointment to go to at 12 pm
navigate,I want tea.
weather,what is the weather like for tomorrow night
navigate,get me directions to the grocery store
navigate,get directions to the nearest parking garage
schedule,Schedule a lab appointment with Ana for the 3rd at 2pm.
navigate,Find me a gas station that I can get to the quickest without any traffic
weather,check the weather for today
schedule,What time is my football activity and who is attending?
weather,Is it going to be hot this weekend in Boston?
schedule,What is the date and time for my doctor appointment?
navigate,Find me a pizza place within 3 miles and avoid all heavy traffic
navigate,Where can I get tea?
navigate,give me directions to the nearest shopping mall
weather,Give me saturday's weather report for menlo park
schedule,Set a reminder for yoga next month on the 13th at 6pm with my mom.
navigate,give me a quick route to a grocery store
schedule,mark on my calendar that i am going to the football game this saturday at 3:30
weather,what's today's and tomorrow's forecast
weather,what's the weather going to be like this week
schedule,Set a reminder for my conference with management later this week at 11 am.
navigate,"Car I need to get to the nearest shopping center, and I need the fastest route."
navigate,Is there a parking garage near?
weather,what is the weather going to be like today and tomorrow
navigate,look for parking
weather,Will there be hail in Mountain View today?
schedule,what time is my lab appointment for
navigate,Where is a gas station within 2 miles?
weather,Could you tell me the weather forecast in Fresno on Saturday?
schedule,What is the date of our dinner and who is attending?
schedule,I need you to find out the time and who is attending my yoga activity. 
weather,what is the weather like today in tomorrow
schedule,What date and location is my conference and who is going to be attending?
navigate,i'd like to know where i can get some chinese takeout
schedule,Set reminder for dinner at 11AM with mom on Friday
weather,what is the current temperature
schedule,make a note that at 5 pm on the 12th i have yoga
schedule,What time is my optometrist appointment and who will be going?
navigate,get me directions to the nearest chinese restaurant
schedule,"Schedule a conference at 4pm, on the 1st, with HR"
weather,how hot is it going to be this week
navigate,navigate to the nearest fast food restaurant
navigate,Where can I get pizza?
navigate,take me to the nearest starbucks please
weather,Will it be foggy in Menlo Park in the next two days?
navigate,Where do I live?
weather,is it going to snow this week
weather,are there clear skies in the forecast today
schedule,schedule a meeting for 2 pm
weather,check weather
weather,Are there clear skies in Grand Rapids now?
navigate,please give me directions to a nearby parking garage parking lot
schedule,Schedule me a lab appointment at 2pm with Marie.
navigate,show the route to my friend's house
schedule,What is the date and time of my next tennis activity?
weather,What's the weather in Alameda now?
weather,what's the forecast for the weather today
schedule,"Please, set a reminder for a meeting at 1pm with HR to sign the NDA!"
schedule,What time does my next dinner gathering start and who will be attending?
navigate,Please give me the address and directions by the fastest route to a coffee or tea place. Avoid heavy traffic please. 
navigate,What is my address?
schedule,schedule a blood test
weather,how is the weather in the city this weekend
navigate,Where does my friend live?
weather,what is the weather
schedule,I need to see the Dentist this month the 6th at 7pm with Jon. 
navigate,Car I'm desiring to eat Chinese food!
navigate,take me to the parking garage closest to my destination
navigate,What gas stations are here?
navigate,navigate to the nearest mall
weather,will it be cloudy
weather,will the weather be cloudy next week
weather,what will the weather be like in the city
weather,what's the weather like in downtown chicago
navigate,Find me the quickest route to the gas station. 
weather,Is it gonna be any blizzard on Tuesday in Alhambra?
navigate,Where can I get coffee?
navigate,where is the closest place to eat
weather,What will the lowest temperture be in downtown Chicago next week?
schedule,what time is my meeting tomorrow and what is the agenda
schedule,Schedule a dentist appointment on the 8th at 1 pm with my aunt.
weather,Is it gonna rain in Camarillo today and tomorrow?
weather,check weather forecast for seattle
navigate,search for nearest fast food restaurants
weather,give me this week's high temperature
weather,What is the weather report for Durham today and tomorrow?
weather,what's the temperature
schedule,check the date and time of my doctor's appointment
navigate,What is my adress?
weather,Tell me if it will rain in Alameda in the next 48 hours
weather,Is it cloudy in Cleveland today?
weather,is snow forecasted this week
navigate,i'm looking for some takeout chinese food
navigate,quickest route home
navigate,Where is there Chinese food?
navigate,Are there chinese restaurants nearby
schedule,Set a reminder for my tennis activity at 6pm this week with Martha.
weather,is it going to snow this week
navigate,directions to the nearest grocery store
navigate,take me to the nearest hospital
navigate,Please give me an address and directions by the fastest route with no traffic to a chinese restaurant. 
weather,what's the forecast going to be for today and tomorrow
weather,what's the weather going to be like in the city on thursday
weather,what's the temperature
navigate,Car is there any shopping center nearby? Please show me a quick route to reach too!
weather,Will it be hail in Cleveland on Sunday?
weather,Is it gonna snow during the next week in Atherton?
weather,what's the temperature going to be this week
navigate,navigate to the closest restaurant
schedule,I need a reminder about a lab appointment. 
schedule,"Schedule a dinner at 6pm, on the 15th of this month, with my sister"
schedule,Schedule a swimming activity with my brother for next Wednesday at 2pm.
schedule,what time is the football game
weather,what is the weather today in tomorrow
schedule,"Remind me about my doctor appointment at 9 am today, my sister is coming."
weather,will it rain next week
navigate,navigate to the nearest hotel
weather,Will the weather be stormy in San Mateo over the next 7 days?
weather,what is the weather next week
schedule,What is the date and time of my optometrist appointment?
navigate,take me to the nearest shopping center
weather,how cloudy is it going to be for the next week
schedule,Set a reminder for yoga activity at 5 pm on Thursday with mother. 
schedule,Schedule a yoga activity with Alex on August 14th at 1pm.
navigate,navigate to my friend's home please
schedule,What is the location and agenda of my next meeting and who will be attending?
schedule,What date and time is the football event?
schedule,i have a meeting tomorrow at 5 pm remind me 10 minutes before hand and attach my agenda to the calendar at 3
navigate,Where can I buy groceries?
schedule,put my eye doctor appointment into the calendar it's tomorrow at 3 pm and remind me 2 hours before
schedule,Schedule a conference with management on Monday August 8th at 10am.
navigate,find me a gas station that is within 3 miles please.
navigate,find directions to home
schedule,"Car, schedule a reminder for a doctor's appointment at 4pm, the 7th with Tom. "
schedule,What time is my lab appointment and who is coming?
schedule,when is my next dental appointment
navigate,Find me the fastest route home and the address 
schedule,Schedule a football activity with Ana on the 6th at 7pm.
navigate,find me the closest coffee shop on the map
schedule,What time and date is my dentist appointment?
weather,what's the weather going to be like in the city on thursday
navigate,find directions to the nearest starbucks
navigate,Is there a parking garage within 2 miles?
schedule,what time is my swimming lessons scheduled
weather,I need to know if Brentwood is going to be overcast on Monday please. 
navigate,Where can I get Chinese food?
navigate,Where can I get groceries?
weather,is the weather cloudy right now
schedule,When are we getting together for football? And who's coming?
schedule,Set a reminder for taking my medicine at 4 pm on the 8th with Ana.
weather,Will it be warm in Brentwood this week?
weather,Will it be warm in Cleveland next week?
navigate,can you give me directions to a fast food place that serves pizza
weather,Will it be windy in Atherton in the next two days?
navigate,Where can I go shopping?
weather,what's the weather forecast for the next week
navigate,Please guide me to the closest parking garage. 
schedule,Set a reminder for dinner on August 3rd at 9pm with my brother. 
schedule,What is the date and time of dinner?
schedule,Schedule a meeting with HR for 1PM Tuesday to onboard new members.
schedule,I need to schedule a doctor appointment at 10 am. The 14th of August with Alex. 
navigate,take me to a place where i can get something to eat
schedule,What is the date and location for my conference and who is attending?
weather,what is the weather going to be today and tomorrow
schedule,I need to find out the time and parties attending my optometrist appointment. 
schedule,"Car, will you schedule a Doctor's appointment for me? Set it for 11 am, tomorrow, with Jon."
navigate,"Please give me the address and directions to home within 5 miles of here, avoiding all heavy traffic. "
schedule,Schedule a meeting on Monday the 1st at 11am with the sales team to discuss the company picnic.
navigate,navigate fastest route home
weather,what's the temperature going to be this week
schedule,check the date and time for my swim lesson
schedule,remind me about that meeting later
navigate,get me directions to the nearest starbucks
weather,what is the forecast for the city this week
schedule,"Schedule a meeting at 1pm, this month on the 11th with boss to discuss dress code. "
navigate,car please show the possible routes to get home
schedule,Please set a reminder for an optometrist appointment later this week at 5pm with Marie.
weather,Will it be humid in Manhattan today and tomorrow?
weather,is it going to snow this week
navigate,Car I need a gas station within 5 miles
weather,is it going to rain this week
schedule,Schedule a football activity with my mother for August 14th at 11am.
weather,what is the weather like in the city
schedule,"Remind me about my optometrist appointment with my father on the 29th, at 7 pm"
schedule,What is the time and date for my yoga activity?
schedule,What is the date and time of my next swimming activity?
weather,what is the weather next week in new york
navigate,Is there a parking garage around here? 
schedule,schedule a meeting for 2 pm
schedule,What day and time is my tennis activity?
schedule,doctor's appointment at 10 am on monday august 8th
schedule,Schedule a conference with HR. 
weather,check weather forecast for seattle
navigate,give me directions to the local starbucks
schedule,when is my scheduled appointment for my lab
navigate,Where is the nearest rest stop?
weather,how cloudy is it going to be for the next week
navigate,give me directions to the closest chinese food restaurant
navigate,Running out of gas. Closest gas station? 
navigate,find me a tea house
weather,Will it be warm in San Mateo over the weekend?
schedule,confirm meeting
weather,which days will be cloudy this week
weather,what is the weather next week
navigate,find starbucks
weather,what is the weather for next week
schedule,What day and time is my dentist appointment?
navigate,I need the address to a parking garage. 
navigate,find me chinese restaurants within 3 miles of my current location
weather,is it going to rain in the next 7 days
schedule,what time is the football game this week
navigate,I need a gas station with the least amount of traffic.
weather,There will be any overcast in Oakland on next weekend?
navigate,Please give me the address and directions via the quickest route to a coffee or tea place within 2 miles of here. 
weather,will it be cloudy this week
schedule,What is the date of my dentist appointment and who will be attending it?
schedule,When is taking medicine scheduled and who is attending?
schedule,i have an eye doctors appointment on the 12th at 5 pm
weather,check forecast for today and tomorrow
weather,what is the weather next week
weather,is it cloudy in the next 7 days
navigate,Car I need to get to a gas station: is there any around me?
schedule,Remind me that I have yoga with Ana at 4 pm on Wednesday
navigate,i need directions to a grocery store
weather,what is the weather going to be like tomorrow show me the 7 day forecast
weather,which days are rain forecasted
schedule,What day and time is my dentist appointment?
schedule,remind me about my doctor's visit
weather,what's today's and tomorrow's forecast
weather,Will there be drizzle in Oakland on Sunday?
weather,What will be the highest temperature in downtown chicago on tuesday?
schedule,What time is my doctor's appointment and who is going with me?
schedule,what time is the football game
weather,what's the weather forecast for the next week
schedule,show me what time i need to take my pills
schedule,what is the date and time of the conference
navigate,I need to locate a shopping center.
schedule,add tennis on wednesday at 5 to my calendar
weather,On Saturday in camarillo will it be cloudy?
schedule,"Remind me about going swimming on the 7th with dad, at 2 pm"
schedule,what time is my yoga appointment
schedule,What time is the football game and who will be there?
schedule,tell me when is my next meeting and who are invited in the meeting and what are the agenda of the next meeting
schedule,get me the time of the doctor's appointment
schedule,check doctor's appointment date
weather,Is it gonna be humid in San Jose on the next week?
schedule,What is the date and time of my next dentist appointment.
navigate,Please give me the address and directions via the fastest route to a hospital nearby. 
navigate,What grocery stores are around?
schedule,Schedule a swimming activity with Marie on the 5th at 10am.
navigate,What grocery stores are around?
weather,what is the forecast for today's weather
schedule,Schedule a reminder for me to take my medicine today with my father at 1pm.
schedule,Can you find out for me the date and parties attending my dinner?
weather,Will it be hot in Brentwood on Wednesday?
schedule,Can you find out who is joining me and what day my optometrist appointment is at?
weather,Look up the seven day forecast in Redwood City and find out if it will be foggy at all.
weather,give me weather forecast for today
weather,Tell me the weather report for Tuesday in San Mateo
schedule,What time do i have to take medicine and who is helping ? 
weather,There will be any hail in Danville during the week?
navigate,take me to the closest starbucks
navigate,take me to the closest parking
navigate,where are the nearest coffee shops
navigate,give me directions to the nearest mall
schedule,what time am i scheduled to play tennis at
weather,Will it hail in Danville today and tomorrow?
navigate,bring me to the nearest grocery store
weather,I'm going to Redwood City on Thursday: will it be humid?
schedule,Schedule a dinner at 5pm of the 12th of current month with my father.
weather,Will it be drizzle in Camarillo tomorrow?
schedule,set a reminder for my conference call tomorrow
navigate,show me the nearest starbucks
navigate,"Please give me the address and directions to the nearest parking garage, avoiding all heavy traffic. "
navigate,"I think I have a friend who lives around here, what is their address, and find me the quickest route there"
schedule,set a reminder on the 12th to refill my prescription
weather,Is there going to be snow in Boston on Monday? 
schedule,What is the date of my next doctor appointment and who will be attending?
weather,Will it be misty in Brentwood today and tomorrow?
schedule,Schedule a tennis activity for 3 pm on Saturday with my father.
schedule,What is the date of my next lab appointment and who will be attending?
schedule,what day is my yoga class
schedule,what time am i scheduled to play tennis at
schedule,when am i supposed to swim tomorrow
navigate,Where can I get Chinese food?
schedule,make an appointment for the doctor on the 12th
weather,Will it be dry in carson on thursday?
weather,what's the weather supposed to be like in new york city this week
schedule,what time is the exercise class
schedule,Remind me about my meeting on the 29th at 4pm with the executive team to onboard new members. 
schedule,put my optometrist appointment in my calendar
navigate,Find me a gas station.
weather,Will it be cloudy in Boston on Monday?
navigate,Get me the address to a shopping mall near me.
navigate,find me a nearby tea or coffee shop
navigate,Please give me the address and directions to a coffee shop via the quickest route. 
schedule,Schedule an optometrist appointment at 2 pm with Jon.
weather,Will it be foggy in Redwood City on Wednesday?
weather,does the forecast say it will snow
navigate,Please give me the address and directions via a route with no traffic to the nearest pizza restaurant.
navigate,get me directions to the mall
schedule,Schedule dinner with Martha later this week at 11am.
weather,what will the temperature be this weekend
navigate,find me a nearby coffee shop specifically starbucks
weather,Is it snowing in Redwood City right now?
navigate,find me a hotel nearby
weather,Check to see if it will be cloudy in mountain view this saturday
schedule,i need to take medicine on sunday
weather,Look at today and tomorrow and tell me if it will be cloudy in compton
weather,is it going to rain today
weather,what's the temperature going to be this week
weather,what's the weather like today and tomorrow
navigate,directions to nearest barista
weather,what's the weather like today and tomorrow
weather,What will be the highest temperature on friday in mountain view?
weather,find out if it's supposed to rain
navigate,Where can I get pizza?
navigate,i'm looking for some takeout chinese food
schedule,what time is my dinner reservation
weather,what is the weather for today
navigate,please give me directions to 5677 springer street
navigate,Find me the fastest route to the nearest rest stop around
weather,what's the temperature going to be like this week
